dataset_name,nodes,density_category,run_path,num_samples,bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,44,0.251429,0.257143,2,0,0.000000,0.252747
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,45,0.257143,0.262857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,46,0.262857,0.268571,2,0,0.000000,0.263736
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,47,0.268571,0.274286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,48,0.274286,0.280000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,49,0.280000,0.285714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,50,0.285714,0.291429,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,51,0.291429,0.297143,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,52,0.297143,0.302857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,53,0.302857,0.308571,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,54,0.308571,0.314286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,55,0.314286,0.320000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,56,0.320000,0.325714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,57,0.325714,0.331429,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,58,0.331429,0.337143,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,59,0.337143,0.342857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,60,0.342857,0.348571,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,61,0.348571,0.354286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,62,0.354286,0.360000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,63,0.360000,0.365714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,64,0.365714,0.371429,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,65,0.371429,0.377143,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,66,0.377143,0.382857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,67,0.382857,0.388571,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,68,0.388571,0.394286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,69,0.394286,0.400000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,70,0.400000,0.405714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,71,0.405714,0.411429,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,72,0.411429,0.417143,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,73,0.417143,0.422857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,74,0.422857,0.428571,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,75,0.428571,0.434286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,76,0.434286,0.440000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,77,0.440000,0.445714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,78,0.445714,0.451429,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,79,0.451429,0.457143,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,80,0.457143,0.462857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,81,0.462857,0.468571,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,82,0.468571,0.474286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,83,0.474286,0.480000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,84,0.480000,0.485714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,85,0.485714,0.491429,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,86,0.491429,0.497143,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,87,0.497143,0.502857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,88,0.502857,0.508571,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,89,0.508571,0.514286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,90,0.514286,0.520000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,91,0.520000,0.525714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,92,0.525714,0.531429,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,93,0.531429,0.537143,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,94,0.537143,0.542857,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,95,0.542857,0.548571,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,96,0.548571,0.554286,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,97,0.554286,0.560000,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,98,0.560000,0.565714,0,0,NA,NA
14N_Bipartite_Sparse,14,Sparse,results/evaluation_results/14N_Bipartite/run_old_5/Sparse/BP14NS_samples.npy,512,99,0.565714,0.571429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,0,0.000000,0.005714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,1,0.005714,0.011429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,2,0.011429,0.017143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,3,0.017143,0.022857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,4,0.022857,0.028571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,5,0.028571,0.034286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,6,0.034286,0.040000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,7,0.040000,0.045714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,8,0.045714,0.051429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,9,0.051429,0.057143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,10,0.057143,0.062857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,11,0.062857,0.068571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,12,0.068571,0.074286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,13,0.074286,0.080000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,14,0.080000,0.085714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,15,0.085714,0.091429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,16,0.091429,0.097143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,17,0.097143,0.102857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,18,0.102857,0.108571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,19,0.108571,0.114286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,20,0.114286,0.120000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,21,0.120000,0.125714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,22,0.125714,0.131429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,23,0.131429,0.137143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,24,0.137143,0.142857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,25,0.142857,0.148571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,26,0.148571,0.154286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,27,0.154286,0.160000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,28,0.160000,0.165714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,29,0.165714,0.171429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,30,0.171429,0.177143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,31,0.177143,0.182857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,32,0.182857,0.188571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,33,0.188571,0.194286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,34,0.194286,0.200000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,35,0.200000,0.205714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,36,0.205714,0.211429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,37,0.211429,0.217143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,38,0.217143,0.222857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,39,0.222857,0.228571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,40,0.228571,0.234286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,41,0.234286,0.240000,3,0,0.000000,0.235294
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,42,0.240000,0.245714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,43,0.245714,0.251429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,44,0.251429,0.257143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,45,0.257143,0.262857,4,0,0.000000,0.261438
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,46,0.262857,0.268571,1,0,0.000000,0.267974
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,47,0.268571,0.274286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,48,0.274286,0.280000,8,0,0.000000,0.274510
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,49,0.280000,0.285714,5,0,0.000000,0.281046
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,50,0.285714,0.291429,5,0,0.000000,0.287582
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,51,0.291429,0.297143,8,0,0.000000,0.294118
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,52,0.297143,0.302857,16,0,0.000000,0.300654
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,53,0.302857,0.308571,19,0,0.000000,0.307190
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,54,0.308571,0.314286,13,0,0.000000,0.313725
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,55,0.314286,0.320000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,56,0.320000,0.325714,26,0,0.000000,0.320261
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,57,0.325714,0.331429,26,0,0.000000,0.326797
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,58,0.331429,0.337143,41,0,0.000000,0.333333
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,59,0.337143,0.342857,40,0,0.000000,0.339869
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,60,0.342857,0.348571,42,0,0.000000,0.346405
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,61,0.348571,0.354286,40,0,0.000000,0.352941
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,62,0.354286,0.360000,45,0,0.000000,0.359477
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,63,0.360000,0.365714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,64,0.365714,0.371429,37,0,0.000000,0.366013
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,65,0.371429,0.377143,25,0,0.000000,0.372549
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,66,0.377143,0.382857,25,0,0.000000,0.379085
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,67,0.382857,0.388571,15,0,0.000000,0.385621
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,68,0.388571,0.394286,20,0,0.000000,0.392157
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,69,0.394286,0.400000,9,0,0.000000,0.398693
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,70,0.400000,0.405714,9,0,0.000000,0.405229
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,71,0.405714,0.411429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,72,0.411429,0.417143,12,0,0.000000,0.411765
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,73,0.417143,0.422857,4,0,0.000000,0.418301
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,74,0.422857,0.428571,4,0,0.000000,0.424837
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,75,0.428571,0.434286,4,0,0.000000,0.431373
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,76,0.434286,0.440000,1,0,0.000000,0.437908
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,77,0.440000,0.445714,3,0,0.000000,0.444444
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,78,0.445714,0.451429,1,0,0.000000,0.450980
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,79,0.451429,0.457143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,80,0.457143,0.462857,1,0,0.000000,0.457516
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,81,0.462857,0.468571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,82,0.468571,0.474286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,83,0.474286,0.480000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,84,0.480000,0.485714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,85,0.485714,0.491429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,86,0.491429,0.497143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,87,0.497143,0.502857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,88,0.502857,0.508571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,89,0.508571,0.514286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,90,0.514286,0.520000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,91,0.520000,0.525714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,92,0.525714,0.531429,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,93,0.531429,0.537143,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,94,0.537143,0.542857,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,95,0.542857,0.548571,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,96,0.548571,0.554286,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,97,0.554286,0.560000,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,98,0.560000,0.565714,0,0,NA,NA
18N_Bipartite_Dense,18,Dense,results/evaluation_results/18N_Bipartite/run_old_5/Dense/BP18ND_samples.npy,512,99,0.565714,0.571429,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,0,0.000000,0.005714,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,1,0.005714,0.011429,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,2,0.011429,0.017143,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,3,0.017143,0.022857,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,4,0.022857,0.028571,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,5,0.028571,0.034286,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,6,0.034286,0.040000,0,0,NA,NA
18N_Bipartite_Medium,18,Medium,results/evaluation_results/18N_Bipartite/run_old_2/Medium/samples.npy,512,7,0.040000,0.045714,0,0,NA,NA
